"acfrequency";"r R.v";"i R.v"
4.50457e+06;3.74505e-05;0.000131616
4.50977e+06;3.81837e-05;0.000132792
4.51497e+06;3.89379e-05;0.000133988
4.52017e+06;3.9714e-05;0.000135203
4.52539e+06;4.05127e-05;0.000136437
4.5306e+06;4.13349e-05;0.000137691
4.53583e+06;4.21815e-05;0.000138966
4.54106e+06;4.30535e-05;0.000140261
4.5463e+06;4.39518e-05;0.000141577
4.55154e+06;4.48774e-05;0.000142915
4.55679e+06;4.58315e-05;0.000144275
4.56204e+06;4.68151e-05;0.000145657
4.5673e+06;4.78295e-05;0.000147062
4.57257e+06;4.88759e-05;0.000148489
4.57784e+06;4.99556e-05;0.000149941
4.58312e+06;5.107e-05;0.000151416
4.5884e+06;5.22205e-05;0.000152916
4.5937e+06;5.34086e-05;0.00015444
4.59899e+06;5.46359e-05;0.00015599
4.6043e+06;5.5904e-05;0.000157565
4.6096e+06;5.72148e-05;0.000159166
4.61492e+06;5.85699e-05;0.000160793
4.62024e+06;5.99715e-05;0.000162447
4.62557e+06;6.14214e-05;0.000164128
4.6309e+06;6.29218e-05;0.000165836
4.63624e+06;6.44749e-05;0.000167572
4.64159e+06;6.60831e-05;0.000169336
4.64694e+06;6.77489e-05;0.000171127
4.6523e+06;6.94749e-05;0.000172947
4.65766e+06;7.12638e-05;0.000174795
4.66303e+06;7.31185e-05;0.000176672
4.66841e+06;7.5042e-05;0.000178577
4.6738e+06;7.70376e-05;0.00018051
4.67918e+06;7.91086e-05;0.000182472
4.68458e+06;8.12585e-05;0.000184462
4.68998e+06;8.34912e-05;0.00018648
4.69539e+06;8.58104e-05;0.000188525
4.7008e+06;8.82204e-05;0.000190597
4.70622e+06;9.07256e-05;0.000192696
4.71165e+06;9.33305e-05;0.00019482
4.71708e+06;9.60399e-05;0.000196968
4.72252e+06;9.88589e-05;0.000199139
4.72797e+06;0.000101793;0.000201332
4.73342e+06;0.000104848;0.000203546
4.73888e+06;0.000108029;0.000205777
4.74434e+06;0.000111343;0.000208024
4.74981e+06;0.000114796;0.000210285
4.75529e+06;0.000118395;0.000212556
4.76078e+06;0.000122147;0.000214834
4.76626e+06;0.000126059;0.000217115
4.77176e+06;0.000130141;0.000219394
4.77726e+06;0.000134398;0.000221667
4.78277e+06;0.000138841;0.000223928
4.78829e+06;0.000143477;0.00022617
4.79381e+06;0.000148317;0.000228387
4.79934e+06;0.000153368;0.000230569
4.80487e+06;0.000158641;0.000232709
4.81041e+06;0.000164146;0.000234796
4.81596e+06;0.000169893;0.000236818
4.82151e+06;0.000175891;0.000238763
4.82707e+06;0.000182151;0.000240617
4.83264e+06;0.000188684;0.000242364
4.83821e+06;0.000195498;0.000243987
4.84379e+06;0.000202604;0.000245466
4.84937e+06;0.000210011;0.000246781
4.85497e+06;0.000217727;0.000247908
4.86056e+06;0.00022576;0.000248822
4.86617e+06;0.000234117;0.000249495
4.87178e+06;0.000242801;0.000249896
4.8774e+06;0.000251816;0.000249993
4.88302e+06;0.000261163;0.000249751
4.88865e+06;0.00027084;0.00024913
4.89429e+06;0.000280841;0.00024809
4.89993e+06;0.000291158;0.000246589
4.90558e+06;0.000301776;0.00024458
4.91124e+06;0.000312676;0.000242016
4.9169e+06;0.000323835;0.000238848
4.92257e+06;0.000335221;0.000235026
4.92825e+06;0.000346797;0.0002305
4.93393e+06;0.000358515;0.000225221
4.93962e+06;0.000370323;0.00021914
4.94532e+06;0.000382157;0.000212213
4.95102e+06;0.000393945;0.000204401
4.95673e+06;0.000405608;0.000195668
4.96244e+06;0.000417056;0.00018599
4.96817e+06;0.000428192;0.00017535
4.9739e+06;0.000438913;0.000163744
4.97963e+06;0.00044911;0.00015118
4.98537e+06;0.000458671;0.000137682
4.99112e+06;0.000467485;0.00012329
4.99688e+06;0.000475439;0.000108061
5.00264e+06;0.00048243;9.20679e-05
5.00841e+06;0.000488358;7.54015e-05
5.01418e+06;0.000493139;5.81678e-05
5.01997e+06;0.0004967;4.04863e-05
5.02575e+06;0.000498987;2.24878e-05
5.03155e+06;0.000499963;4.31137e-06
5.03735e+06;0.000499613;-1.38993e-05
5.04316e+06;0.000497944;-3.19997e-05
5.04897e+06;0.00049498;-4.98481e-05
5.0548e+06;0.000490768;-6.73094e-05
5.06063e+06;0.000485373;-8.42584e-05
5.06646e+06;0.000478874;-0.000100582
5.0723e+06;0.000471363;-0.000116183
5.07815e+06;0.000462942;-0.00013098
5.08401e+06;0.000453721;-0.000144906
5.08987e+06;0.00044381;-0.000157916
5.09574e+06;0.000433324;-0.000169978
5.10162e+06;0.000422371;-0.000181075
5.1075e+06;0.000411058;-0.000191207
5.11339e+06;0.000399486;-0.000200385
5.11928e+06;0.000387746;-0.000208629
5.12519e+06;0.000375924;-0.00021597
5.1311e+06;0.000364096;-0.000222446
5.13701e+06;0.000352328;-0.000228099
5.14294e+06;0.000340678;-0.000232975
5.14887e+06;0.000329197;-0.000237124
5.1548e+06;0.000317927;-0.000240595
5.16075e+06;0.0003069;-0.000243439
5.1667e+06;0.000296146;-0.000245704
5.17266e+06;0.000285685;-0.00024744
5.17862e+06;0.000275533;-0.000248693
5.18459e+06;0.000265702;-0.000249506
5.19057e+06;0.000256198;-0.000249923
5.19656e+06;0.000247026;-0.000249982
5.20255e+06;0.000238185;-0.000249721
5.20855e+06;0.000229674;-0.000249172
5.21455e+06;0.000221489;-0.000248369
5.22057e+06;0.000213624;-0.000247339
5.22659e+06;0.000206071;-0.00024611
5.23261e+06;0.000198824;-0.000244706
5.23865e+06;0.000191873;-0.000243149
5.24469e+06;0.000185208;-0.000241458
5.25074e+06;0.00017882;-0.000239653
5.25679e+06;0.000172699;-0.000237749
5.26285e+06;0.000166835;-0.000235762
5.26892e+06;0.000161217;-0.000233704
5.275e+06;0.000155835;-0.000231588
5.28108e+06;0.00015068;-0.000229424
